wikidata_id;baumart_bo;baumart_de;property_id;attribute_name;value;group
Q163760;Tilia x vulgaris;Holländische Linde;P171;uebergeordnetes_taxon;Linde;
Q163760;Tilia x vulgaris;Holländische Linde;P18;bild;http://commons.wikimedia.org/wiki/Special:FilePath/Pr%C3%A6stens%20tr%C3%A6.jpg;
Q163760;Tilia x vulgaris;Holländische Linde;P2043;laenge;0.8;
Q163760;Tilia x vulgaris;Holländische Linde;P2043;laenge;1.8;
Q163760;Tilia x vulgaris;Holländische Linde;P2043;laenge;10.0;
Q163760;Tilia x vulgaris;Holländische Linde;P2043;laenge;7.0;
Q163760;Tilia x vulgaris;Holländische Linde;P2048;hoehe;45.0;
Q163760;Tilia x vulgaris;Holländische Linde;P2049;breite;6.5;
Q163760;Tilia x vulgaris;Holländische Linde;P2049;breite;9.0;
Q163760;Tilia x vulgaris;Holländische Linde;P225;wissenschaftlicher_name;Tilia × europaea;
Q163760;Tilia x vulgaris;Holländische Linde;P2386;durchmesser;8.0;
Q163760;Tilia x vulgaris;Holländische Linde;P279;unterklasse_von;Baum;
Q163760;Tilia x vulgaris;Holländische Linde;P279;unterklasse_von;Nutzpflanze;
Q163760;Tilia x vulgaris;Holländische Linde;P2827;bluetenfarbe;Gelb;
Q163760;Tilia x vulgaris;Holländische Linde;P2827;bluetenfarbe;Grün;
Q163760;Tilia x vulgaris;Holländische Linde;P31;ist_eine;hybrid taxon;
Q163760;Tilia x vulgaris;Holländische Linde;P366;verwendung;Gemüse;
Q163760;Tilia x vulgaris;Holländische Linde;P3739;bluetenstand;cyme;
Q163760;Tilia x vulgaris;Holländische Linde;P3739;bluetenstand;pendulous infloresence;
Q163760;Tilia x vulgaris;Holländische Linde;P462;farbe;Braun;
Q163760;Tilia x vulgaris;Holländische Linde;P462;farbe;Gelb;
Q163760;Tilia x vulgaris;Holländische Linde;P462;farbe;Grün;
Q24853030;Platanus x acerifolia;Gewöhnliche Platane;P105;taxonomischer_rang;Art;
Q24853030;Platanus x acerifolia;Gewöhnliche Platane;P105;taxonomischer_rang;Nothospecies;
Q24853030;Platanus x acerifolia;Gewöhnliche Platane;P10906;foliage_type;laubabwerfend;
